Smile,id
CC1(C)CC[C@]23CO[C@@]4(CCC5[C@@]6(C)CCC(=O)C(C)(C)C6CC[C@@]5(C)[C@]4(C)CC2=O)C3C1,LTS0047128
COc1cc2c(O)c(c1)N=C(O)CC(OC)C=C/C=C\C=C/CC(OC(=O)C(C)N=C(O)C1CCCCC1)C(C)C(O)/C(C)=C\CC2,LTS0257011
C[C@H]([C@@H](CCC(C)(C)O)OP(=O)(O)O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,LTS0047235
COc1cccc2c1C(=O)[N+]1(C)[c-]3cc(C)cc4ccc(=O)c(c3-4)C21O,LTS0246887
CC1COC2(CC1OC1OC(CO)C(O)C(O)C1O)OC1CC3C4CC(O)C5(O)CC(O)C(OC6OC(CO)C(O)C(O)C6O)CC5(C)C4CCC3(C)C1C2C,LTS0256741
CC(=O)OC1CCC2(C)C(CC=C3C2CCC2(C)C(C(C)CCC=C(C)C)CCC32C)C1,LTS0116447
C[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@H]4[C@@]5(C)C(CO)=CC(C)(C)[C@H]5CC[C@]43C)[C@H]2[C@]1(C)O,LTS0049399
CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@H]3[C@@H](OC)C[C@H](O[C@H]4[C@@H](OC)C[C@H](O[C@H]5CC[C@@]6(C)C(=CC[C@@H]7[C@@H]6C[C@@H](OC(C)=O)[C@]6(C)[C@](O)(C(C)=O)CC[C@]76O)C5)O[C@@H]4C)O[C@@H]3C)C[C@H]2OC)O[C@H](C)[C@H]1O[C@H]1C[C@@H](OC)[C@@H](O)[C@H](C)O1,LTS0020640
COC1(OC)CCC2(C)C(CCC3C2CCC2(C)C3CC(=O)C2(O)C(C)O)C1,LTS0118061
COc1ccc(-c2oc3c(CC=C(C)C)c(OC4OC(CO)C(O)C(O)C4O)cc(O)c3c(=O)c2OC2OC(C)C(OC3OCC(O)C(O)C3O)C(O)C2O)cc1,LTS0117043
C=C1C(=O)OC2CC(=C)C3CC(O)C(=C)C3CC12,LTS0254351
O=C(OC[C@H]1O[C@@H](Oc2ccc(O)c(C(=O)O)c2)[C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)c(O)c(O)c1,LTS0118611
COc1cc(C(=O)C(O)CO)ccc1O,LTS0260010
C=C(C(=O)O)[C@@H]1CC[C@@]2(C)CCC[C@@H]3CO[C@@]32C1,LTS0255404
CC[C@H](C)[C@H](NC(O)=N[C@@H]1CCCCN=C(O)[C@H](CC(C)C)N=C(O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)N=C(O)[C@H](C(C)C)N=C1O)C(=O)O,LTS0049457
C[C@]12CC[C@H](O)C[C@H]1CCC1C2CC[C@]2(C)C(C3=CC(=O)OC3)CC[C@]12O,LTS0040687
C[C@@H]1O[C@@H](O[C@@H]2[C@H](O[C@H]3CC[C@@]4(C)[C@@H](CC[C@]5(C)[C@@H]4CC=C4[C@@H]6CC(C)(C)CC[C@@]6(C(=O)O)CC[C@]45C)[C@]3(C)CO)OC[C@H](O)[C@@H]2O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O,LTS0118604
COc1cc(OC)c(OC)c(O)c1CCC(=O)c1ccccc1,LTS0107450
CC1CC(CO)CC(C)C(O)C(C#N)=CC=CCC(C2CCCC2C(=O)O)OC(=O)CC(O)C(C)C1,LTS0040830
COC1CC(OC2CCC3(C)C(=CCC4(O)C3CC(OC(=O)c3ccccc3O)C3(C)C(O)(C(C)=O)CCC43O)C2)OC(C)C1OC1CC(OC)C(OC2CC(OC)C(OC3OC(C)C(O)C(OC)C3O)C(C)O2)C(C)O1,LTS0049139
CCC(=O)OC1C2(OC(C)=O)C(OC(=O)[C@@]3(C)O[C@@H]3C)[C@@]3(C)CC2(O)[C@@](C)([C@H]3CC(=O)OC)[C@@]23OC4(C)O[C@@](CC(=O)OC)([C@](C)([C@H](OC(C)=O)c5ccoc5)CC2O)[C@@]13O4,LTS0017712
