Name,Smile,CAS Number,Type
3-Methyl-3-hexene,CCC=C(C)CC,3404-65-7,Not biofuel
2-Ethyl-1-pentene,CCCC(=C)CC, 3404-71-5  ,Not biofuel
3-Ethyl-1-pentene,CCC(CC)C=C,04/04/4038,Not biofuel
"2,3-Dimethyl-1-pentene",CCC(C)C(C)=C,3404-72-6  ,Not biofuel
"2,4-Dimethyl-1-pentene",CC(C)CC(C)=C,2213-32-3  ,Not biofuel
"3,3-Dimethyl-1-pentene",CCC(C)(C)C=C,3404-73-7  ,Not biofuel
"3,4-Dimethyl-1-pentene",CC(C)C(C)C=C,7385-78-6,Not biofuel
"4,4-Dimethyl-1-pentene",CC(C)(C)CC=C,762-62-9  ,Not biofuel
3-Ethyl-2-pentene,CCC(CC)=CC,816-79-5,Not biofuel
"2,3-Dimethyl-2-pentene",CCC(C)=C(C)C,10574-37-5  ,Not biofuel
"2,4-Dimethyl-2-pentene",CC(C)C=C(C)C,625-65-0  ,Not biofuel
"3,4-Dimethyl-2-pentene",CC=C(C)C(C)C,24910-63-2  ,Not biofuel
"4,4-Dimethyl-2-pentene",CC=CC(C)(C)C,26232-98-4  ,Not biofuel
2-Ethyl-3-methyl-1-butene,CCC(=C)C(C)C,7357-93-9,Not biofuel
"2,3,3-Trimethyl-1-butene",CC(=C)C(C)(C)C,594-56-9,Not biofuel
2-Methyl-1-heptene,CCCCCC(C)=C,15870-10-7  ,Not biofuel
4-Methyl-1-heptene,CCCC(C)CC=C,13151-05-8  ,Not biofuel
5-Methyl-1-heptene,CCC(C)CCC=C,13151-04-7  ,Not biofuel
6-Methyl-1-heptene,CC(C)CCCC=C,5026-76-6  ,Not biofuel
2-methyl-2-heptene,CCCCC=C(C)C,627-97-4  ,Not biofuel
3-methyl-2-heptene,CCCCC(C)=CC,3404-75-9  ,Not biofuel
4-methyl-2-heptene,CCCC(C)C=CC,3404-56-6,Not biofuel
5-methyl-2-heptene,CCC(C)CC=CC,22487-87-2  ,Not biofuel
6-methyl-2-heptene,CC=CCCC(C)C,73548-72-8,Not biofuel
2-methyl-3-heptene,CCCC=CC(C)C,17618-76-7,Not biofuel
3-methyl-3-heptene,CCCC=C(C)CC,7300-03-0,Not biofuel
4-methyl-3-heptene,CCCC(C)=CCC,4485-16-9,Not biofuel
5-methyl-3-heptene,CCC=CC(C)CC,13172-91-3  ,Not biofuel
"2,3-Dimethyl-1-hexene",CCCC(C)C(C)=C,16746-86-4,Not biofuel
"2,4-Dimethyl-1-hexene",CCC(C)CC(C)=C,16746-87-5,Not biofuel
"2,5-Dimethyl-1-hexene",CC(C)CCC(C)=C,6975-92-4,Not biofuel
"3,4-Dimethyl-1-hexene",CCC(C)C(C)C=C,16745-94-1,Not biofuel
"3,5-Dimethyl-1-hexene",CC(C)CC(C)C=C,7423-69-0  ,Not biofuel
"4,5-Dimethyl-1-hexene",CC(C)C(C)CC=C,16106-59-5,Not biofuel
"3,3-Dimethyl-1-hexene",CCCC(C)(C)C=C,3404-77-1,Not biofuel
"4,4-Dimethyl-1-hexene",CCC(C)(C)CC=C,1647-08-1  ,Not biofuel
"5,5-Dimethyl-1-hexene",CC(C)(C)CCC=C,7116-86-1  ,Not biofuel
"2,3-Dimethyl-2-hexene",CCCC(C)=C(C)C,7145-20-2,Not biofuel
"2,4-Dimethyl-2-hexene",CCC(C)C=C(C)C,14255-23-3  ,Not biofuel
"2,5-Dimethyl-2-hexene",CC(C)CC=C(C)C,3404-78-2  ,Not biofuel
"3,4-Dimethyl-2-hexene",CCC(C)C(C)=CC,2213-37-8,Not biofuel
"3,5-Dimethyl-2-hexene",CC=C(C)CC(C)C,3404-79-3  ,Not biofuel
"4,4-Dimethyl-2-hexene",CCC(C)(C)C=CC,3404-59-9  ,Not biofuel
"4,5-Dimethyl-2-hexene",CC=CC(C)C(C)C,73548-71-7,Not biofuel
"5,5-Dimethyl-2-hexene",CC=CCC(C)(C)C,36382-10-2  ,Not biofuel
"2,2-Dimethyl-3-hexene",CCC=CC(C)(C)C,3123-93-1  ,Not biofuel
"2,3-Dimethyl-3-hexene",CCC=C(C)C(C)C,7145-23-5,Not biofuel
"2,4-Dimethyl-3-hexene",CCC(C)=CC(C)C,82085-14-1,Not biofuel
"2,5-Dimethyl-3-hexene",CC(C)C=CC(C)C,15910-22-2  ,Not biofuel
"3,4-Dimethyl-3-hexene",CCC(C)=C(C)CC,30951-95-2,Not biofuel
3-Ethyl-2-methyl-1-pentene,CCC(CC)C(C)=C,19780-66-6,Not biofuel
3-Ethyl-4-methyl-1-pentene,CCC(C=C)C(C)C,61847-80-1,Not biofuel
"2,3,3-Trimethyl-1-pentene",CCC(C)(C)C(C)=C,560-23-6,Not biofuel
"2,3,4-trimethyl-1-pentene",CC(C)C(C)C(C)=C,565-76-4,Not biofuel
"2,4,4-Trimethyl-1-pentene",CC(=C)CC(C)(C)C,107-39-1,Not biofuel
"3,3,4-trimethyl-1-pentene",CC(C)C(C)(C)C=C,560-22-5,Not biofuel
"3,4,4-trimethyl-1-pentene",CC(C=C)C(C)(C)C,564-03-4,Not biofuel
"2,4,4-Trimethyl-2-pentene",CC(C)=CC(C)(C)C,107-40-4,Not biofuel
3-Ethyl-2-methyl-2-pentene,CCC(CC)=C(C)C,19780-67-7,Not biofuel
3-Ethyl-4-methyl-2-pentene,CCC(=CC)C(C)C,19780-68-8,Not biofuel
"2,3,4-Trimethyl-2-pentene",CC(C)C(C)=C(C)C,565-77-5,Not biofuel
"3,4,4-Trimethyl-2-pentene",CC=C(C)C(C)(C)C,598-96-9,Not biofuel
"2-Ethyl-3,3-dimethyl-1-butene",CCC(=C)C(C)(C)C,18231-53-3,Not biofuel
Cyclopropene,C1C=C1,2781-85-3,Not biofuel
Cyclobutene,C1CC=C1,822-35-5,Not biofuel
Cyclopentene,C1CC=CC1,142-29-0,Biofuel
1-Methylcyclopentene,CC1=CCCC1,693-89-0,Biofuel
Cyclohexene,C1CCC=CC1,110-83-8,Biofuel
1-Ethylcyclopentene, CCC1=CCCC1 ,2146-38-5,Not biofuel
3-Ethylcyclopentene, CCC1CCC=C1 ,694-35-9,Not biofuel
1-Methylcyclohexene,CC1=CCCCC1,591-49-1,Biofuel
Cycloheptene,C1CCC=CCC1,628-92-2,Not biofuel
"1,5,5-Trimethylcyclopentene", CC1=CCCC1(C)C ,62184-83-2,Not biofuel
